state,bh_mK,flux_s,flux_err
Potentals_1_0,-2.53018609e-05,1549.9999998335672,37.92900236716323
Potentals_1_0,0.00829810532,1482.8095236687373,38.587392986161134
Potentals_1_0,0.0211304699,1299.9404761267883,29.07385214466549
Potentals_1_0,0.0338922716,1059.7777778272837,22.777657318802227
Potentals_1_0,0.046707061,896.0808082056349,22.217420144408134
Potentals_1_0,0.0600579141,688.9430709740998,26.158910643849055
Potentals_1_0,0.0732839527,511.4093568827758,7.9353835367021555
Potentals_1_0,0.0864219689,302.06142667668007,10.241932990446283
Potentals_1_0,0.0995910603,82.85089228925042,1.6091331440916352
Potentals_1_0,0.112792346,15.260397960207843,0.32111045224758455
Potentals_1_0,0.12669443,2.624874552691184,0.1914014040798683
Potentals_1_0,0.140240948,0.36867307397864296,0.06111712307394462
Potentals_1_0,0.153666619,0.05383543511980117,0.027462769412802766
Potentals_1_minus1,-2.1989465e-05,1468.035714141207,43.05748018517715
Potentals_1_minus1,0.0107604054,1358.214285635941,41.893073441014515
Potentals_1_minus1,0.0254832905,1076.6031746553508,41.072433578363814
Potentals_1_minus1,0.0404676561,803.5955712423265,13.234050752190111
Potentals_1_minus1,0.0561414875,510.5187950857301,19.554007168915447
Potentals_1_minus1,0.0715531676,235.35209908290517,7.446266163415044
Potentals_1_minus1,0.0870474138,35.480627186477804,0.7036363832759173
Potentals_1_minus1,0.103271667,3.885446572895193,0.5504514908517749
Potentals_1_minus1,0.119019528,0.49952674649677425,0.07297071179615347
Potentals_1_minus1,0.135072749,0.06615662654246421,0.027357913030087364
Potentals_1_minus1,0.151749262,,
Potentals_1_minus1,0.168438454,,
Potentals_1_minus1,0.18491686,,
Potentals_2_minus2,-2.58032637e-05,1633.9999998075423,41.005269155258226
Potentals_2_minus2,0.00788574609,1475.952380789537,36.351372349237
Potentals_2_minus2,0.020400309,1379.1666665603548,33.20411459558272
Potentals_2_minus2,0.0327664635,1195.6746031831271,29.37180852673722
Potentals_2_minus2,0.0453394097,983.656565756139,38.421567334500594
Potentals_2_minus2,0.0582065461,798.3173494602386,22.189490916010236
Potentals_2_minus2,0.0712605622,577.4534315343221,14.920327989791902
Potentals_2_minus2,0.0840943756,377.9751711001446,13.554556070235948
Potentals_2_minus2,0.0969124839,154.14773195252755,5.613672662626326
Potentals_2_minus2,0.109782947,36.15075276466047,1.0538650732438632
Potentals_2_minus2,0.122912159,6.421832663772082,0.25826799046561233
Potentals_2_minus2,0.136507206,1.3174442104198874,0.128701300558807
Potentals_2_minus2,0.149559677,0.20874157919181338,0.05400816351627023
Potentals_2_minus1,-2.19677925e-05,1387.3809522548613,36.73848870099506
Potentals_2_minus1,0.010817695,1244.404761867958,42.10654054099951
Potentals_2_minus1,0.0255944327,1059.3611111692212,34.87386760270006
Potentals_2_minus1,0.0406408111,801.9923411379267,26.72568832767651
